sal,corrente,tensao
1,8.79,5.252
1,36.96,2.776
1,46.56,1.928
1,49.76,1.644
1,50.99,1.535
1,52.8,1.372
1,53.83,1.278
1,54.4,1.231
1,55.7,1.117
1,56.25,1.069
1,56.85,1.016
1,57,1.003
1,57.13,0.991
1,57.35,0.971
1,57.48,0.962
1,57.54,0.952
1,57.61,0.949
1,57.63,0.944
1,57.63,0.942
1,57.6,0.953
